I feel pleasant ,3
I feel nervous and restless ,2
I feel satisfied with myself ,3
I wish I could be as happy as others seem to be ,2
I feel like a failure ,1
I feel rested ,3
"I am “calm, cool, and collected” ",3
I feel that difficulties are piling up so that I cannot overcome them ,2
I worry too much over something that really doesn’t matter ,2
I am happy ,3
I have disturbing thoughts ,1
I lack self-confidence ,2
I feel secure ,3
I make decisions easily ,3
I feel inadequate ,2
I am content ,3
Some unimportant thought runs through my mind and bothers me ,2
I take disappointments so keenly that I can’t put them out of my mind ,2
I am a steady person ,3
I get in a state of tension or turmoil as I think over my recent concerns and interests ,3
