I feel pleasant ,4
I feel nervous and restless ,2
I feel satisfied with myself ,4
I wish I could be as happy as others seem to be ,1
I feel like a failure ,1
I feel rested ,3
"I am “calm, cool, and collected” ",4
I feel that difficulties are piling up so that I cannot overcome them ,1
I worry too much over something that really doesn’t matter ,1
I am happy ,4
I have disturbing thoughts ,1
I lack self-confidence ,1
I feel secure ,4
I make decisions easily ,4
I feel inadequate ,1
I am content ,4
Some unimportant thought runs through my mind and bothers me ,1
I take disappointments so keenly that I can’t put them out of my mind ,1
I am a steady person ,4
I get in a state of tension or turmoil as I think over my recent concerns and interests ,1
